"uri","keyword_label","vocab_label","thesaurus_name","thesaurus_url","vocab_id","fuzzymatch_score"
NULL,"vapor pressure","soil vapour pressure","keyword","","https://w3id.org/eusoilvoc#SoilVapourPressure",82
NULL,"soil-erosion","soil erosion","","","https://w3id.org/eusoilvoc#SoilErosion",92
NULL,"environmental covariates","environmental factors","keyword",NULL,"https://w3id.org/eusoilvoc#EnvironmentalFactors",80
NULL,"temperature","soil temperature","keyword",NULL,"https://w3id.org/eusoilvoc#SoilTemperature",81
NULL,"clay mineralogy","soil clay mineralogy","keyword",NULL,"https://w3id.org/eusoilvoc#SoilClayMineralogy",86
NULL,"island","sand","keyword",NULL,"https://w3id.org/eusoilvoc#Sand",80
NULL,"soil minerals","soil clay mineral","keyword",NULL,"https://w3id.org/eusoilvoc#SoilClayMineral",80
NULL,"soiltype","soil types","","","https://w3id.org/eusoilvoc#SoilTypes",89
NULL,"bodendaten","soil age","","","https://w3id.org/eusoilvoc#SoilAge",80
NULL,"seasons","season","keyword",NULL,"https://w3id.org/eusoilvoc#Season",92
NULL,"land-use","land use","keyword",NULL,"https://w3id.org/eusoilvoc#LandUse",88
NULL,"soil carbon data","soil carbon density","keyword",NULL,"https://w3id.org/eusoilvoc#SoilCarbonDensity",80
NULL,"soil radiocarbon","soil organic carbon","keyword",NULL,"https://w3id.org/eusoilvoc#SoilOrganicCarbon",80
NULL,"stem respiration","root respiration","keyword",NULL,"https://w3id.org/eusoilvoc#RootRespiration",81
NULL,"soil property","soil properties","keyword",NULL,"https://w3id.org/eusoilvoc#SoilProperties",86
NULL,"decomposition","peat decompostion","keyword",NULL,"https://w3id.org/eusoilvoc#PeatDecompostion",80
NULL,"litter quality","water quality","keyword",NULL,"https://w3id.org/eusoilvoc#WaterQuality",81
NULL,"microfauna","soil microfauna","keyword",NULL,"https://w3id.org/eusoilvoc#SoilMicrofauna",80
NULL,"matric potential","soil matric potential","keyword",NULL,"https://w3id.org/eusoilvoc#SoilMatricPotential",86
NULL,"microbiota","microbes","keyword",NULL,"https://w3id.org/eusoilvoc#Microbes",84
NULL,"soil microhabitat","soil microfauna","keyword",NULL,"https://w3id.org/eusoilvoc#SoilMicrofauna",88
NULL,"soil organic matter fractions","soil organic matter contents","keyword",NULL,"https://w3id.org/eusoilvoc#SoilOrganicMatterContents",84
NULL,"soil type","soil types","keyword",NULL,"https://w3id.org/eusoilvoc#SoilTypes",95
NULL,"environmental impact","environmental factors","keyword",NULL,"https://w3id.org/eusoilvoc#EnvironmentalFactors",83
NULL,"biotic properties","soil properties","keyword",NULL,"https://w3id.org/eusoilvoc#SoilProperties",81
NULL,"hydrophobicity","soil hydrophobicity","keyword",NULL,"https://w3id.org/eusoilvoc#SoilHydrophobicity",85
NULL,"soil water retention curve","soil water retention","keyword",NULL,"https://w3id.org/eusoilvoc#SoilWaterRetention",87
NULL,"soil hydraulic properties","soil thermal properties","keyword",NULL,"https://w3id.org/eusoilvoc#SoilThermalProperties",83
NULL,"sols","soil","keyword",NULL,"https://w3id.org/eusoilvoc#Soil",86
NULL,"soil nitrogen","soil nitrogen loss","keyword",NULL,"https://w3id.org/eusoilvoc#SoilNLoss",84
NULL,"eu mission","emissions","keyword",NULL,"https://w3id.org/eusoilvoc#Emissions",84
NULL,"pesticide","pesticide use","keyword",NULL,"https://w3id.org/eusoilvoc#PesticideUse",82
NULL,"soil microorganism","soil microfauna","keyword",NULL,"https://w3id.org/eusoilvoc#SoilMicrofauna",97
NULL,"clay content","soil clay contents","keyword",NULL,"https://w3id.org/eusoilvoc#SoilClayContents",80
NULL,"sand content","salt contents","keyword",NULL,"https://w3id.org/eusoilvoc#SaltContents",80
NULL,"soil heath","soil health","keyword",NULL,"https://w3id.org/eusoilvoc#SoilHealth",95
NULL,"crop classification","void classification","keyword",NULL,"https://w3id.org/eusoilvoc#VoidClassification",84
NULL,"degradation","soil degradation","keyword",NULL,"https://w3id.org/eusoilvoc#SoilDegradation",81
NULL,"soil microbes","soil micropore","keyword",NULL,"https://w3id.org/eusoilvoc#SoilMicropore",81
NULL,"land fragmentation","soil fragmentation","keyword",NULL,"https://w3id.org/eusoilvoc#SoilFragmentation",83
NULL,"soil organic carbon density","soil carbon density","keyword",NULL,"https://w3id.org/eusoilvoc#SoilCarbonDensity",83
NULL,"spatial aggregation","soil aggregation","keyword",NULL,"https://w3id.org/eusoilvoc#SoilAggregation",86
NULL,"particle size distribution","soil particle size distribution","keyword",NULL,"https://w3id.org/eusoilvoc#SoilParticleSizeDistribution",91
NULL,"grain","rain","keyword",NULL,"https://w3id.org/eusoilvoc#Rain",89
NULL,"mission","emissions","keyword",NULL,"https://w3id.org/eusoilvoc#Emissions",88
NULL,"land class","land use class","keyword",NULL,"https://w3id.org/eusoilvoc#LandUseClass",83
NULL,"soil mission","soil dispersion","keyword",NULL,"https://w3id.org/eusoilvoc#SoilDispersion",81
NULL,"soil health indicators","soil indicators","keyword",NULL,"https://w3id.org/eusoilvoc#SoilIndicators",81
NULL,"atmospheric conditions","weather","keyword",NULL,"https://w3id.org/eusoilvoc#Weather",80
NULL,"food","floods","keyword",NULL,"https://w3id.org/eusoilvoc#Floods",80
NULL,"ecosystem science","ecosystem services","keyword",NULL,"https://w3id.org/eusoilvoc#EcosystemServices",80
NULL,"hot temperature","soil temperature","keyword",NULL,"https://w3id.org/eusoilvoc#SoilTemperature",84
NULL,"conventional farming","conventional drainage","keyword",NULL,"https://w3id.org/eusoilvoc#ConventionalDrainage",83
NULL,"total organic carbon","soil organic carbon","keyword",NULL,"https://w3id.org/eusoilvoc#SoilOrganicCarbon",87
NULL,"cesd-soil quality","soil health","keyword",NULL,"https://w3id.org/eusoilvoc#SoilHealth",83
NULL,"root water uptake","plant water uptake","keyword",NULL,"https://w3id.org/eusoilvoc#PlantWaterUptake",80
NULL,"pore size distribution (psd)","soil pore size distribution","keyword",NULL,"https://w3id.org/eusoilvoc#SoilPoreSizeDistribution",80
NULL,"pore size distribution","soil pore size distribution","keyword",NULL,"https://w3id.org/eusoilvoc#SoilPoreSizeDistribution",90
NULL,"soil organic matter (som)","soil organic matter","keyword",NULL,"https://w3id.org/eusoilvoc#SoilOrganicMatter",86
NULL,"electrical conductivity","soil electrical conductivity","keyword",NULL,"https://w3id.org/eusoilvoc#SoilElectricalConductivity",90
NULL,"thermal conductivity","soil thermal conductivity","keyword",NULL,"https://w3id.org/eusoilvoc#SoilThermalConductivity",89
NULL,"productivity","soil productivity","keyword",NULL,"https://w3id.org/eusoilvoc#SoilProductivity",83
NULL,"biosorption","soil sorption","keyword",NULL,"https://w3id.org/eusoilvoc#SoilSorption",83
NULL,"classification","void classification","keyword",NULL,"https://w3id.org/eusoilvoc#VoidClassification",85
NULL,"meteorology","lithology","keyword",NULL,"https://w3id.org/eusoilvoc#Lithology",80
NULL,"uv degradation","soil degradation","keyword",NULL,"https://w3id.org/eusoilvoc#SoilDegradation",80
NULL,"brain","rain","keyword",NULL,"https://w3id.org/eusoilvoc#Rain",89
NULL,"pesticide mixture","pesticide use","keyword",NULL,"https://w3id.org/eusoilvoc#PesticideUse",80
NULL,"microbial","microbes","keyword",NULL,"https://w3id.org/eusoilvoc#Microbes",88
NULL,"porosity","air porosity","keyword",NULL,"https://w3id.org/eusoilvoc#AirPorosity",80
NULL,"water content","soil moisture","mag",NULL,"https://w3id.org/eusoilvoc#SoilMoisture",84
NULL,"filter","filtration","keyword",NULL,"https://w3id.org/eusoilvoc#Filtration",80
NULL,"soil nutrient analysis","soil nutrient loss","keyword",NULL,"https://w3id.org/eusoilvoc#SoilNutrientLoss",85
NULL,"environmental water","environmental factors","keyword",NULL,"https://w3id.org/eusoilvoc#EnvironmentalFactors",85
