record_id,name,description,service_type
38c2a87e-d38a-4359-9899-9d4a6b9f0c2a,Service de visualisation WMS,Adresse de connexion au service de visualisation WMS des données relatives à la Carte Numérique des Sols de Wallonie.,wms
r_friuve:m3958-cc-i1454,NULL,NULL,wms
r_friuve:m3958-cc-i1454,NULL,NULL,wfs
21885567-5313-429d-a899-a92cc67e86a0,gsoc:sq4,Soil Quality: Oxygen Availability to Roots (HWSD),wms
ea3a946c-f25e-44b5-be96-dce9bbc93050,Service de visualisation WMS,Adresse de connexion au service de visualisation WMS de la couche de données CARBIOSOL - Incertitudes des Teneurs en Carbone organique total - période 1949-1972,wms
ec81aff5-2b00-4534-a780-78178288d21d,gsoc:sq6,Soil Quality: Toxicities,wms
r_friuve:m3982-cc-i1494,NULL,NULL,wms
2427214a-42dc-4862-b58a-00b73cbc7a6f,gsoc:T_CEC_CLAY,Topsoil CEC (CLAY),wms
r_lombar:9e36ef24-bbb0-46d1-995c-7c50679ff096,NULL,NULL,wms
r_friuve:m3959-cc-i1456,NULL,NULL,wfs
r_friuve:m3959-cc-i1456,NULL,NULL,wms
arls_031:m10574-cc-i10481,NULL,NULL,wms
arls_031:m10574-cc-i10481,NULL,NULL,wfs
r_friuve:m3981-cc-i1493,NULL,NULL,wfs
r_friuve:m3981-cc-i1493,NULL,NULL,wms
r_friuve:m4003-cc-i4085,NULL,NULL,wfs
r_friuve:m4003-cc-i4085,NULL,NULL,wms
r_friuve:m3982-cc-i1494,NULL,NULL,wfs
r_friuve:m3987-cc-i4022,NULL,NULL,wfs
r_friuve:m3987-cc-i4022,NULL,NULL,wms
r_friuve:m3970-cc-i1474,NULL,NULL,wms
r_friuve:m3970-cc-i1474,NULL,NULL,wfs
r_lombar:410afd93-0871-4bb5-91df-8bf5eefc8808,NULL,NULL,wms
r_friuve:m3963-cc-i1461,NULL,NULL,wms
r_friuve:m3963-cc-i1461,NULL,NULL,wfs
r_friuve:m3984-cc-i3981,NULL,NULL,wms
r_friuve:m3984-cc-i3981,NULL,NULL,wfs
r_friuve:m3960-cc-i1457,NULL,NULL,wfs
r_friuve:m3960-cc-i1457,NULL,NULL,wms
f1d5ecdd-c078-475e-9ced-0451892381ae,gsoc:sq7,Soil Quality: Workability (HWSD),wms
d9cc67ba-5491-4640-86ac-b8d392250270,NULL,NULL,wms
f57b4c3e-9822-426e-913e-e558868f4e9f,gsoc:T_SILT,Topsoil Silt Fraction,wms
f5b746d0-853d-11db-b9b2-000d939bc5d8,geonetwork:constr_soil_14133,Global land area with soil constraints (FGGD),wms
r_friuve:m3965-cc-i1465,NULL,NULL,wms
r_friuve:m3965-cc-i1465,NULL,NULL,wfs
eea_r_3035_1_km_clc-forest-cover-gain-eu_p_2000-2018_v01_r00,NULL,NULL,wms
10.2909/1b43939a-cb20-4eb8-b6e7-b454971ed933,NULL,NULL,wms
eea_v_4326_100_k_uhi-intensity_p_2008-2017_v01_r00,NULL,NULL,wms
