"['Decontamination', 'en']",https://soilwise-he.github.io/soil-health#Contamination,93
"['dissolved organic carbon', 'en']",https://soilwise-he.github.io/soil-health#SoilOrganicCarbon,84
"['Labile soil organic matter', 'en']",https://soilwise-he.github.io/soil-health#SoilOrganicMatter,84
"['Mineralization', 'en']",https://soilwise-he.github.io/soil-health#Mineralization,93
"['CLIMAITE', 'en']",https://soilwise-he.github.io/soil-health#Climate,93
"['gasification', 'en']",https://soilwise-he.github.io/soil-health#Acidification,80
"['cycle biologique', 'en']",https://soilwise-he.github.io/soil-health#HydrologicalCycle,82
"['ecosystem functioning', 'en']",https://soilwise-he.github.io/soil-health#EcosystemFunctions,90
"['agricultural systems', 'en']",https://soilwise-he.github.io/soil-health#AgriculturalSubsidies,81
"['agroecosystems', 'en']",https://soilwise-he.github.io/soil-health#Ecosystems,83
"['ECOSYSTEM', 'en']",https://soilwise-he.github.io/soil-health#Ecosystems,95
"['FERTILISATION DU SOL', 'en']",https://soilwise-he.github.io/soil-health#SoilFertility,83
"['Soil quality indicators', 'en']",https://soilwise-he.github.io/soil-health#SoilHealthIndicator,82
"['Agricultural management practices', 'en']",https://soilwise-he.github.io/soil-health#AgriculturalManagementInputs,86
"['Soil Nutrient Management', 'en']",https://soilwise-he.github.io/soil-health#SoilFertility,80
"['Organic matter', 'en']",https://soilwise-he.github.io/soil-health#SoilOrganicMatter,85
"['Crop Productivity', 'en']",https://soilwise-he.github.io/soil-health#Productivity,83
"['Carbon stock', 'en']",https://soilwise-he.github.io/soil-health#CarbonStocks,96
"['Forest floor', 'en']",https://soilwise-he.github.io/soil-health#ForestFloors,96
"['land use change', 'en']",https://soilwise-he.github.io/soil-health#Acidification00093,81
"['Rangeland management', 'en']",https://soilwise-he.github.io/soil-health#LandManagement,86
"['SOIL RESPIRATION', 'en']",https://soilwise-he.github.io/soil-health#SoilRestoration,88
"['soil nutrient depletion', 'en']",https://soilwise-he.github.io/soil-health#NutrientDepletion,88
"['production racinaire', 'en']",https://soilwise-he.github.io/soil-health#FoodProduction,86
"['root production', 'en']",https://soilwise-he.github.io/soil-health#FoodProduction,87
"['P35 - Fertilité du sol', 'en']",https://soilwise-he.github.io/soil-health#SoilFertility,84
"['respiration du sol', 'en']",https://soilwise-he.github.io/soil-health#SoilManagement,81
"['compensation', 'en']",https://soilwise-he.github.io/soil-health#Compaction,82
"['Compensation', 'en']",https://soilwise-he.github.io/soil-health#Compaction,82
"['Carbon quality', 'en']",https://soilwise-he.github.io/soil-health#AirQuality,80
"['Bodenschätzung', 'de']",https://soilwise-he.github.io/soil-health#SoilPollution,81
"['matéria orgânica do solo', 'en']",https://soilwise-he.github.io/soil-health#SoilOrganicMatter,80
"['carbon stock', 'en']",https://soilwise-he.github.io/soil-health#CarbonStocks,96
"['soil mechanical properties', 'en']",https://soilwise-he.github.io/soil-health#SoilChemicalProperties,88
"['crop productivity', 'en']",https://soilwise-he.github.io/soil-health#Productivity,83
