subject_label,vocab_label,matched_label,matched_lang,is_mt,subject_id,subject_uri,vocab_identifier,fuzzy_score
bodenarten,soil cohesion,Bodenart,de,False,164434,,https://w3id.org/eusoilvoc#SoilCohesion,89
organischer kohlenstoffvorrat,soil organic carbon,organischer Bodenkohlenstoff,de,False,164440,,https://w3id.org/eusoilvoc#SoilOrganicCarbon,81
effektive kationenaustauschkapazitäten,cation exchange capacity effective,effektive Ionenauswechselkapazität,de,True,164444,,https://w3id.org/eusoilvoc#CationExchangeCapacityEffective,81
bodenformen,soil pores,Bodenporen,de,True,164449,,https://w3id.org/eusoilvoc#SoilPores,86
bäume,mist,brume,fr,True,164479,,https://w3id.org/eusoilvoc#Mist,80
immissionen,emissions,Emissionen,de,True,164483,,https://w3id.org/eusoilvoc#Emissions,86
deposition,slope orientation,exposition,en,False,164490,,https://w3id.org/eusoilvoc#SlopeOrientation,90
grondwaterspiegeldiepte,groundwater depth,grondwaterdiepte,nl,True,164495,,https://w3id.org/eusoilvoc#GroundwaterDepth,82
bodenbewertung,soil movement,Bodenbewegung,de,False,164513,,https://w3id.org/eusoilvoc#SoilMovement,89
bodenfunktion,soil functions,Bodenfunktionen,de,False,164514,,https://w3id.org/eusoilvoc#SoilFunctions,93
speicherkapazität,water storage capacity,Wasserspeicherkapazität,de,True,164522,,https://w3id.org/eusoilvoc#WaterStorageCapacity,85
classificazione,void classification,classificazione vuota,it,True,166622,,https://w3id.org/eusoilvoc#VoidClassification,83
edificios,building,edificio,it,True,169445,,https://w3id.org/eusoilvoc#Building,94
1105 ecology,geology,geology,en,False,166631,,https://w3id.org/eusoilvoc#Geology,86
basensättigung,base saturation,Basensättigung,de,False,166675,,https://w3id.org/eusoilvoc#BaseSaturation,90
buildings,building,building,en,False,166688,,https://w3id.org/eusoilvoc#Building,94
atmospheric conditions,weather,weather conditions,en,False,166693,,https://w3id.org/eusoilvoc#Weather,80
soil layer,soil water,soil water,en,False,164571,,https://w3id.org/eusoilvoc#SoilWater,80
organic contaminants,soil contaminants,soil contaminants,en,False,164588,,https://w3id.org/eusoilvoc#SoilContaminants,81
assetto strutturale,structure grade,classe strutturale,it,True,164594,,https://w3id.org/eusoilvoc#StructureGrade,86
bodenkarte,soil cohesion,Bodenart,de,False,164599,,https://w3id.org/eusoilvoc#SoilCohesion,89
bodenwasserhaushalt,soil moisture,Bodenwassergehalt,de,False,164601,,https://w3id.org/eusoilvoc#SoilMoisture,83
sol contaminé,soil contaminants,soil contaminant,en,False,164620,,https://w3id.org/eusoilvoc#SoilContaminants,83
bodenproben,soil pores,Bodenporen,de,True,164642,,https://w3id.org/eusoilvoc#SoilPores,86
local contaminant,soil contaminants,soil contaminant,en,False,164647,,https://w3id.org/eusoilvoc#SoilContaminants,85
bodenzustand,soil location,Bodenstandort,de,True,164671,,https://w3id.org/eusoilvoc#SoilLocation,80
organische substanz,soil organic matter,organische Bodensubstanz,de,False,164685,,https://w3id.org/eusoilvoc#SoilOrganicMatter,88
atmosphäre,soil air,Bodenatmosphäre,de,False,164689,,https://w3id.org/eusoilvoc#SoilAir,80
bodensubstrat,soil substance,Bodensubstanz,de,True,164745,,https://w3id.org/eusoilvoc#SoilSubstance,85
soil map,soil pH,soil pH,en,False,164820,,https://w3id.org/eusoilvoc#SoilpH,80
microrespiration,root respiration,root respiration,en,False,164837,,https://w3id.org/eusoilvoc#RootRespiration,81
avaliable water capacity,soil available water capacity,soil available water capacity,en,False,164847,,https://w3id.org/eusoilvoc#SoilAvailableWaterCapacity,87
energia convenzionale,conventional drainage,drenaggio convenzionale,it,True,164869,,https://w3id.org/eusoilvoc#ConventionalDrainage,82
bodenauslaugung,soil slaking,Bodenauslaugen,de,True,164904,,https://w3id.org/eusoilvoc#SoilSlaking,90
bodenbelastung,soil aeration,Bodenbelüftung,de,True,164906,,https://w3id.org/eusoilvoc#SoilAeration,86
bodenbiologie,soil biopore,Bodenbiopore,de,True,164908,,https://w3id.org/eusoilvoc#SoilBiopore,80
bodenfunktion,soil functions,Bodenfunktionen,de,False,164913,,https://w3id.org/eusoilvoc#SoilFunctions,93
bodengestaltung,soil heat radiation,Bodenstrahlung,de,True,164914,,https://w3id.org/eusoilvoc#SoilHeatRadiation,83
bodennutzbarkeit,soil productivity,Bodenfruchtbarkeit,de,False,164919,,https://w3id.org/eusoilvoc#SoilProductivity,82
bodennutzung,soil settlement,Bodensetzung,de,True,164920,,https://w3id.org/eusoilvoc#SoilSettlement,83
bodeneigenschaften,soil properties,Bodeneigenschaft,de,False,164922,,https://w3id.org/eusoilvoc#SoilProperties,94
bodenverbreitung,soil tillage,Bodenbearbeitung,de,True,164928,,https://w3id.org/eusoilvoc#SoilTillage,88
azole,nitrogen,azote,fr,False,164932,,https://w3id.org/eusoilvoc#Nitrogen,80
