subject_label,vocab_label,subject_id,subject_uri,vocab_identifier,cosine_score,ce_score
wasserkapazität,water storage capacity,165763,,https://w3id.org/eusoilvoc#WaterStorageCapacity,0.8168,0.7015
soildepth,soil depth bedrock,165907,,https://w3id.org/eusoilvoc#SoilDepthBedrock,0.9105,0.8133
soil-water-index,soil water transmission index,165915,,https://w3id.org/eusoilvoc#SoilWaterTransmissionIndex,0.8631,0.742
bodeneigenschaften,soil physical properties,165969,,https://w3id.org/eusoilvoc#SoilPhysicalProperties,0.7601,0.796
bodemoppervlak,soil sealing,166030,,https://w3id.org/eusoilvoc#SoilSealing,0.8333,0.6282
soil physics,soil physical processes,166050,,https://w3id.org/eusoilvoc#SoilPhysicalProcesses,0.929,0.8573
mouvements-de-terrain,soil movement,166073,,https://w3id.org/eusoilvoc#SoilMovement,0.838,0.9112
sand content,soil sand contents,166110,,https://w3id.org/eusoilvoc#SoilSandContents,0.8258,0.6023
cum mo,molybdenum,166168,,https://w3id.org/eusoilvoc#Molybdenum,0.7513,0.8761
plant stems,plant cover,166254,,https://w3id.org/eusoilvoc#PlantCover,0.892,0.8008
sandy soils,soil sand contents,166262,,https://w3id.org/eusoilvoc#SoilSandContents,0.9441,0.8022
clay soils,soil clay mineralogy,166264,,https://w3id.org/eusoilvoc#SoilClayMineralogy,0.9342,0.9893
tree rings,plant cover,166275,,https://w3id.org/eusoilvoc#PlantCover,0.5036,0.7683
carbonio-organico,soil organic carbon,166955,,https://w3id.org/eusoilvoc#SoilOrganicCarbon,0.8771,0.8938
agricultural soils;,soil agricultural functions,166421,,https://w3id.org/eusoilvoc#SoilAgriculturalFunctions,0.9192,0.9523
exploitation de la terre agricole,soil cracking,169476,,https://w3id.org/eusoilvoc#SoilCracking,0.9129,0.6094
poroelasticity,textural porosity,166498,,https://w3id.org/eusoilvoc#TexturalPorosity,0.7625,0.8371
"wydział geodezji i kartografii, urzędu marszałkowskiego województwa dolnośląskiego",geology,166506,,https://w3id.org/eusoilvoc#Geology,0.6351,0.6345
kationenaustauschverhältnisse,cation exchange,166523,,https://w3id.org/eusoilvoc#CationExchange,0.7221,0.6315
carbone-organique,soil organic carbon,167011,,https://w3id.org/eusoilvoc#SoilOrganicCarbon,0.8874,0.8912
soil-physics,soil physical processes,167102,,https://w3id.org/eusoilvoc#SoilPhysicalProcesses,0.9156,0.9036
land-use,land use class,167279,,https://w3id.org/eusoilvoc#LandUseClass,0.878,0.7293
land-cover,land cover,167281,,https://w3id.org/eusoilvoc#LandCover,0.9073,0.6954
grundwasser,soil water,169526,,https://w3id.org/eusoilvoc#SoilWater,0.8,0.6021
sensitivity,soil consistence,167317,,https://w3id.org/eusoilvoc#SoilConsistence,0.5629,0.804
