"id","record_id","name","format","url","description"
49045,"4d283c4d-ddfc-4d27-b679-7d5881e66f85","Agricultural Soil Map of Austria - Water Permeability - WFS","OGC:WFS-http-get-capabilities","https%3A%2F%2Fgis.lfrz.gv.at%2Fapi%2Fgeodata%2Fi000604%2Fogc%2Ffeatures%2Fv1%2F","Agricultural Soil Map of Austria - Water Permeability - WFS"
49049,"http://paikkatiedot.fi/so/1000836",NULL,"http://www.opengis.net/def/serviceType/ogc/wms","https%3A%2F%2Favoin.metsakeskus.fi%2Frajapinnat%2Fv1%2Fgridcell%2Fows%3F",NULL
49051,"ESMAGRAMAINESEROLAM20110616000","NZ.HazardArea","OGC:WMS-1.1.1-http-get-map","https%3A%2F%2Fwms.mapama.gob.es%2Fsig%2FBiodiversidad%2FINESErosionLaminarRaster","Erosión laminar"
49058,"https://data.inspire.gv.at/b78613e2-f6dc-4b9f-901c-dfe13122dd54","inspire_feldstuecke_2023-1","OGC:WMS","https%3A%2F%2Finspire.lfrz.gv.at%2F009501%2Fwms%3Fversion%3D1.3.0%26request%3DGetCapabilities","inspire_feldstuecke_2023-1"
49063,"INSPIRE_SIGEC_PARC_AGRI_ANON__2018,b0691bd7-2b15-4717-94f9-dcffc28d0627","INSPIRE- Occupation des terres en Wallonie (BE) - Service de visualisation WMS","OGC:WMS","https%3A%2F%2Fgeoservices.wallonie.be%2Fgeoserver%2Finspire_lc%2Fows%3Fservice%3DWMS%26version%3D1.3.0%26request%3DGetCapabilities","Ce service de visualisation WMS-INSPIRE permet de consulter la série de couches de données conforme au thème INSPIRE ""Occupation des terres""."
49073,"https://data.inspire.gv.at/0095/97725be7-e74d-4340-847a-178ae0d4f524","inspire_schlaege_2015_point","OGC:WMS","https%3A%2F%2Finspire.lfrz.gv.at%2F009501%2Fwms%3Fversion%3D1.3.0%26request%3DGetCapabilities","INVEKOS Schläge 2015 (Point)"
49074,"https://data.inspire.gv.at/0095/97725be7-e74d-4340-847a-178ae0d4f524","inspire_schlaege_2015_polygon","OGC:WMS","https%3A%2F%2Finspire.lfrz.gv.at%2F009501%2Fwms%3Fversion%3D1.3.0%26request%3DGetCapabilities","INVEKOS Schläge 2015 (Polygon)"
49079,"LU_ExistingLandUse_SIGEC2024,c4b05636-ad49-46ad-b38b-3b53b61f9759","INSPIRE - Usage des sols en Wallonie (BE) - Service de visualisation WMS","OGC:WMS","https%3A%2F%2Fgeoservices.wallonie.be%2Fgeoserver%2Finspire_lu%2Fows%3Fservice%3DWMS%26version%3D1.3.0%26request%3DGetCapabilities",NULL
49086,"https://data.inspire.gv.at/0095/6d1524bc-f610-486a-be54-ba5c956af068","inspire_referenzen_2018_point","OGC:WMS","https%3A%2F%2Finspire.lfrz.gv.at%2F009501%2Fwms%3Fversion%3D1.3.0%26request%3DGetCapabilities","INVEKOS Referenzen 2018 (Point)"
49087,"https://data.inspire.gv.at/0095/6d1524bc-f610-486a-be54-ba5c956af068","inspire_referenzen_2018_polygon","OGC:WMS","https%3A%2F%2Finspire.lfrz.gv.at%2F009501%2Fwms%3Fversion%3D1.3.0%26request%3DGetCapabilities","INVEKOS Referenzen 2018 (Polygon)"
49169,"https://data.inspire.gv.at/e499eacb-df06-4a6a-8175-b9745eeeadc4","inspire_schlaege_2020_polygon","OGC:WMS","https%3A%2F%2Finspire.lfrz.gv.at%2F009501%2Fwms%3Fversion%3D1.3.0%26request%3DGetCapabilities","INVEKOS Schläge 2020 (Polygon)"
49094,"https://data.inspire.gv.at/7175d2af-d188-4ec2-b079-d4c0e5417f77","inspire_schlaege_2023-2_point","OGC:WMS","https%3A%2F%2Finspire.lfrz.gv.at%2F009501%2Fwms%3Fversion%3D1.3.0%26request%3DGetCapabilities","inspire_schlaege_2023-2_point"
49095,"https://data.inspire.gv.at/7175d2af-d188-4ec2-b079-d4c0e5417f77","inspire_schlaege_2023-2_polygon","OGC:WMS","https%3A%2F%2Finspire.lfrz.gv.at%2F009501%2Fwms%3Fversion%3D1.3.0%26request%3DGetCapabilities","inspire_schlaege_2023-2_polygon"
49102,"INSPIRE_SIGEC_PARC_AGRI_ANON__2017,2f225125-1309-45b3-804c-204f62808f48","INSPIRE- Occupation des terres en Wallonie (BE) - Service de visualisation WMS","OGC:WMS","https%3A%2F%2Fgeoservices.wallonie.be%2Fgeoserver%2Finspire_lc%2Fows%3Fservice%3DWMS%26version%3D1.3.0%26request%3DGetCapabilities","Ce service de visualisation WMS-INSPIRE permet de consulter la série de couches de données conforme au thème INSPIRE ""Occupation des terres""."
49108,"https://data.inspire.gv.at/b037d48d-06f3-4af2-ac48-ae07e7ca1e00","inspire_schlaege_2024-2_point","OGC:WMS","https%3A%2F%2Finspire.lfrz.gv.at%2F009501%2Fwms%3Fversion%3D1.3.0%26request%3DGetCapabilities","inspire_schlaege_2024-2_point"
49109,"https://data.inspire.gv.at/b037d48d-06f3-4af2-ac48-ae07e7ca1e00","inspire_schlaege_2024-2_polygon","OGC:WMS","https%3A%2F%2Finspire.lfrz.gv.at%2F009501%2Fwms%3Fversion%3D1.3.0%26request%3DGetCapabilities","inspire_schlaege_2024-2_polygon"
49116,"INSPIRE_SIGEC_PARC_AGRI_ANON__2015,82a3db7f-092c-4e9a-a97e-b92b31eeafe1","Service de visualisation WMS - Inspire","OGC:WMS","https%3A%2F%2Fgeoservices.wallonie.be%2Fgeoserver%2Finspire_lc%2Fows%3Fservice%3DWMS%26version%3D1.3.0%26request%3DGetCapabilities","Ce service de visualisation WMS-INSPIRE permet de consulter la série de couches de données conforme au thème INSPIRE ""Occupation des terres""."
49121,"https://data.inspire.gv.at/bbd8ee1b-76a1-451f-88ef-84e9c7a1faaf","inspire_schlaege_2024-1_point","OGC:WMS","https%3A%2F%2Finspire.lfrz.gv.at%2F009501%2Fwms%3Fversion%3D1.3.0%26request%3DGetCapabilities","inspire_schlaege_2024-1_point"
49122,"https://data.inspire.gv.at/bbd8ee1b-76a1-451f-88ef-84e9c7a1faaf","inspire_schlaege_2024-1_polygon","OGC:WMS","https%3A%2F%2Finspire.lfrz.gv.at%2F009501%2Fwms%3Fversion%3D1.3.0%26request%3DGetCapabilities","inspire_schlaege_2024-1_polygon"
